nazwa,Substancja czynna,postac,dawka,Zawartosc opakowania,Kod EAN lub inny kod odpowiadajacy kodowi EAN,Poziom odplatnosci,Zakres wskazan objetych refundacja,Wysokosc doplaty swiadczeniobiorcy
Risperon,Risperidonum, tabl. powl., 4 mg,20 szt. (2 blist.po 10 szt.),05909990336586,ryczalt,Schizofrenia,"6,84"
Risperon,Risperidonum, tabl. powl., 4 mg,60 szt. (6 blist.po 10 szt.),05909990336609,ryczalt,Schizofrenia,"8,89"
Rispolept,Risperidonum, tabl. powl., 1 mg,20 szt. (2 blist.po 10 szt.),05909990670413,ryczalt,Schizofrenia,"4,84"
Rispolept,Risperidonum, roztwor doustny, 1 mg/ml,100 ml,05909990423828,ryczalt,Schizofrenia,"6,36"
Rispolept,Risperidonum, tabl. powl., 2 mg,20 szt. (2 blist.po 10 szt.),05909990670512,ryczalt,Schizofrenia,"6,01"
Rispolept,Risperidonum, tabl. powl., 3 mg,20 szt. (2 blist.po 10 szt.),05909990670611,ryczalt,Schizofrenia,"3,83"
Rispolept,Risperidonum, tabl. powl., 4 mg,20 szt. (2 blist.po 10 szt.),05909990670710,ryczalt,Schizofrenia,"3,20"
Rispolept Consta,Risperidonum, proszek i rozpuszczalnik do sporzadzania zawiesiny do wstrzykiwan o przedluzonym uwalnianiu, 25 mg,1 fiol. + 1 strz. + 1 urzadzenie do przygotowania zawiesiny + 2 igly do wstrzykniecia domiesniowego,05909991058227,ryczalt,"Schizofrenia w przypadku nawrotu objawow psychotycznych podczas terapii neuroleptykami w wyniku udokumentowanego, uporczywego braku wspolpracy chorego","7,37"
Rispolept Consta,Risperidonum, proszek i rozpuszczalnik do sporzadzania zawiesiny do wstrzykiwan o przedluzonym uwalnianiu, 37.5 mg,1 fiol. + 1 strz. + 1 urzadzenie do przygotowania zawiesiny + 2 igly do wstrzykniecia domiesniowego,05909991058128,ryczalt,"Schizofrenia w przypadku nawrotu objawow psychotycznych podczas terapii neuroleptykami w wyniku udokumentowanego, uporczywego braku wspolpracy chorego","3,20"
Rispolept Consta,Risperidonum, proszek i rozpuszczalnik do sporzadzania zawiesiny do wstrzykiwan o przedluzonym uwalnianiu, 50 mg,1 fiol. + 1 strz. + 1 urzadzenie do przygotowania zawiesiny + 2 igly do wstrzykniecia domiesniowego,05909991058029,ryczalt,"Schizofrenia w przypadku nawrotu objawow psychotycznych podczas terapii neuroleptykami w wyniku udokumentowanego, uporczywego braku wspolpracy chorego","3,20"
Ryspolit,Risperidonum, tabl. powl., 1 mg,20 szt. (2 blist.po 10 szt.),05909990567683,ryczalt,Schizofrenia,"4,83"
Ryspolit,Risperidonum, roztwor doustny, 1 mg/ml,1 but.po 100 ml,05909990721405,ryczalt,Schizofrenia,"7,35"
Ryspolit,Risperidonum, roztwor doustny, 1 mg/ml,1 but.po 30 ml,05909990721399,ryczalt,Schizofrenia,"5,31"
Ryspolit,Risperidonum, tabl. powl., 2 mg,20 szt. (2 blist.po 10 szt.),05909990567737,ryczalt,Schizofrenia,"6,34"
Ryspolit,Risperidonum, tabl. powl., 3 mg,20 szt. (2 blist.po 10 szt.),05909990567935,ryczalt,Schizofrenia,"6,83"
Ryspolit,Risperidonum, tabl. powl., 4 mg,20 szt. (2 blist.po 10 szt.),05909990568031,ryczalt,Schizofrenia,"7,82"
Torendo Q-Tab 1 mg,Risperidonum, tabl. ulegajace rozpadowi w jamie ustnej, 1 mg,20 szt. (2 blist.po 10 szt.),05909990034932,ryczalt,Schizofrenia,"3,54"
Torendo Q-Tab 1 mg,Risperidonum, tabl. ulegajace rozpadowi w jamie ustnej, 1 mg,50 szt. (5 blist.po 10 szt.),05909990680849,ryczalt,Schizofrenia,"3,20"
Torendo Q-Tab 2 mg,Risperidonum, tabl. ulegajace rozpadowi w jamie ustnej, 2 mg,20 szt. (2 blist.po 10 szt.),05909990034994,ryczalt,Schizofrenia,"3,20"
Torendo Q-Tab 2 mg,Risperidonum, tabl. ulegajace rozpadowi w jamie ustnej, 2 mg,50 szt. (5 blist.po 10 szt.),05909990680863,ryczalt,Schizofrenia,"3,20"
Xarelto,Rivaroxabanum, tabl., 10 mg,10 szt.,05909990658145,ryczalt,zylne powiklania zakrzepowo-zatorowe u doroslych pacjentow po przebytej planowej alloplastyce calkowitej stawu biodrowego (do 30 dnia po przebytej alloplastyce) lub kolanowego (do 14 dnia po przebytej alloplastyce) - prewencja pierwotna,"58,02"
Xarelto,Rivaroxabanum, tabl. powl., 15 mg,14 szt.,05909990910601,30p,Leczenie zakrzepicy zyl glebokich u osob powyzej 18 roku zycia. Profilaktyka nawrotow zakrzepicy zyl glebokich lub zatorowosci plucnej - po ostrej zakrzepicy zyl glebokich u osob powyzej 18 roku zycia. Leczenie zatorowosci plucnej oraz profilaktyka nawrotowej zakrzepicy zyl glebokich i zatorowosci plucnej u doroslych,"74,95"
Xarelto,Rivaroxabanum, tabl. powl., 15 mg,42 szt.,05909990910663,30p,Leczenie zakrzepicy zyl glebokich u osob powyzej 18 roku zycia. Profilaktyka nawrotow zakrzepicy zyl glebokich lub zatorowosci plucnej - po ostrej zakrzepicy zyl glebokich u osob powyzej 18 roku zycia. Leczenie zatorowosci plucnej oraz profilaktyka nawrotowej zakrzepicy zyl glebokich i zatorowosci plucnej u doroslych,"207,52"
Xarelto,Rivaroxabanum, tabl. powl., 20 mg,14 szt.,05909990910700,30p,Leczenie zakrzepicy zyl glebokich u osob powyzej 18 roku zycia. Profilaktyka nawrotow zakrzepicy zyl glebokich lub zatorowosci plucnej - po ostrej zakrzepicy zyl glebokich u osob powyzej 18 roku zycia. Leczenie zatorowosci plucnej oraz profilaktyka nawrotowej zakrzepicy zyl glebokich i zatorowosci plucnej u doroslych,"56,86"
Evertas,Rivastigminum, system transdermalny, plaster,30 szt.,05909991078386,30p,Choroba Alzheimera,"59,52"
Evertas,Rivastigminum, system transdermalny, plaster,30 szt.,05909991078454,30p,Choroba Alzheimera,"121,15"
Exelon,Rivastigminum, system transdermalny, 13.3 mg/24h,30 sasz.,05909991032609,30p,Choroba Alzheimera,"233,18"
Exelon,Rivastigminum, system transdermalny, 4.6 mg/24h,30 sasz.,05909990066704,30p,Choroba Alzheimera,"96,39"
Exelon,Rivastigminum, system transdermalny, 9.5 mg/24h,30 sasz.,05909990066766,30p,Choroba Alzheimera,"169,12"
Nimvastid,Rivastigminum, kaps. twarde, 1.5 mg,28 szt.,05909990700646,30p,Choroba Alzheimera,"11,91"
Nimvastid,Rivastigminum, tabl. ulegajace rozpadowi w jamie ustnej, 1.5 mg,28 szt.,05909990700660,30p,Choroba Alzheimera,"11,91"
Nimvastid,Rivastigminum, kaps. twarde, 3 mg,28 szt.,05909990700684,30p,Choroba Alzheimera,"18,45"
Nimvastid,Rivastigminum, tabl. ulegajace rozpadowi w jamie ustnej, 3 mg,28 szt.,05909990700691,30p,Choroba Alzheimera,"18,45"
Nimvastid,Rivastigminum, tabl. ulegajace rozpadowi w jamie ustnej, 3 mg,56 szt.,05909990700721,30p,Choroba Alzheimera,"34,69"
Nimvastid,Rivastigminum, kaps. twarde, 3 mg,56 szt.,05909990700707,30p,Choroba Alzheimera,"35,94"
Nimvastid,Rivastigminum, kaps. twarde, 4.5 mg,28 szt.,05909990700738,30p,Choroba Alzheimera,"27,33"
Nimvastid,Rivastigminum, tabl. ulegajace rozpadowi w jamie ustnej, 4.5 mg,28 szt.,05909990700745,30p,Choroba Alzheimera,"27,33"
Nimvastid,Rivastigminum, tabl. ulegajace rozpadowi w jamie ustnej, 4.5 mg,56 szt.,05909990700769,30p,Choroba Alzheimera,"51,23"
Nimvastid,Rivastigminum, kaps. twarde, 4.5 mg,56 szt.,05909990700752,30p,Choroba Alzheimera,"53,05"
Nimvastid,Rivastigminum, kaps. twarde, 6 mg,28 szt.,05909990700790,30p,Choroba Alzheimera,"35,94"
Nimvastid,Rivastigminum, tabl. ulegajace rozpadowi w jamie ustnej, 6 mg,28 szt.,05909990700806,30p,Choroba Alzheimera,"35,94"
Nimvastid,Rivastigminum, tabl. ulegajace rozpadowi w jamie ustnej, 6 mg,56 szt.,05909990700851,30p,Choroba Alzheimera,"67,51"
Nimvastid,Rivastigminum, kaps. twarde, 6 mg,56 szt.,05909990700844,30p,Choroba Alzheimera,"69,89"
Ristidic,Rivastigminum, kaps. twarde, 1.5 mg,28 szt.,05909990782048,30p,Choroba Alzheimera,"8,78"
Ristidic,Rivastigminum, kaps. twarde, 1.5 mg,56 szt.,05909990782055,30p,Choroba Alzheimera,"17,30"
Ristidic,Rivastigminum, kaps. twarde, 3 mg,28 szt.,05909990782079,30p,Choroba Alzheimera,"14,86"
Ristidic,Rivastigminum, kaps. twarde, 3 mg,56 szt.,05909990782086,30p,Choroba Alzheimera,"29,81"
Ristidic,Rivastigminum, kaps. twarde, 4.5 mg,28 szt.,05909990782147,30p,Choroba Alzheimera,"24,34"
Ristidic,Rivastigminum, kaps. twarde, 4.5 mg,56 szt.,05909990782154,30p,Choroba Alzheimera,"50,21"
Ristidic,Rivastigminum, kaps. twarde, 6 mg,28 szt.,05909990782178,30p,Choroba Alzheimera,"28,75"
Ristidic,Rivastigminum, kaps. twarde, 6 mg,56 szt.,05909990782185,30p,Choroba Alzheimera,"65,26"
Rivaldo,Rivastigminum, kaps. twarde, 3 mg,56 szt.,05909990816255,30p,Choroba Alzheimera,"35,48"
Rivaldo,Rivastigminum, kaps. twarde, 4.5 mg,28 szt.,05909990816262,30p,Choroba Alzheimera,"26,99"
Rivaldo,Rivastigminum, kaps. twarde, 4.5 mg,56 szt.,05909990816279,30p,Choroba Alzheimera,"52,37"
Rivaldo,Rivastigminum, kaps. twarde, 6 mg,28 szt.,05909990816286,30p,Choroba Alzheimera,"35,48"
Rivaldo,Rivastigminum, kaps. twarde, 6 mg,56 szt.,05909990816293,30p,Choroba Alzheimera,"68,98"
Rivastigmin NeuroPharma,Rivastigminum, kaps. twarde, 1.5 mg,28 szt.,05909990982981,30p,Choroba Alzheimera,"5,83"
Rivastigmin NeuroPharma,Rivastigminum, kaps. twarde, 3 mg,28 szt.,05909990983162,30p,Choroba Alzheimera,"11,38"
Rivastigmin NeuroPharma,Rivastigminum, kaps. twarde, 3 mg,56 szt.,05909990983179,30p,Choroba Alzheimera,"21,76"
Rivastigmin NeuroPharma,Rivastigminum, kaps. twarde, 4.5 mg,28 szt.,05909990983308,30p,Choroba Alzheimera,"16,69"
Rivastigmin NeuroPharma,Rivastigminum, kaps. twarde, 4.5 mg,56 szt.,05909990983322,30p,Choroba Alzheimera,"31,79"
Rivastigmin NeuroPharma,Rivastigminum, kaps. twarde, 6 mg,28 szt.,05909990983506,30p,Choroba Alzheimera,"21,76"
Rivastigmin NeuroPharma,Rivastigminum, kaps. twarde, 6 mg,56 szt.,05909990983544,30p,Choroba Alzheimera,"41,55"
Rivastigmin Orion,Rivastigminum, kaps. twarde, 3 mg,28 szt.,05909990778935,30p,Choroba Alzheimera,"14,48"
Rivastigmin Orion,Rivastigminum, kaps. twarde, 3 mg,56 szt.,05909990778942,30p,Choroba Alzheimera,"25,73"
Rivastigmin Orion,Rivastigminum, kaps. twarde, 4.5 mg,28 szt.,05909990778966,30p,Choroba Alzheimera,"19,11"
Rivastigmin Orion,Rivastigminum, kaps. twarde, 4.5 mg,56 szt.,05909990778973,30p,Choroba Alzheimera,"35,14"
Rivastigmin Orion,Rivastigminum, kaps. twarde, 6 mg,28 szt.,05909990778997,30p,Choroba Alzheimera,"23,46"
Rivastigmin Orion,Rivastigminum, kaps. twarde, 6 mg,56 szt.,05909990779000,30p,Choroba Alzheimera,"44,26"
Rivastigmine Mylan,Rivastigminum, kaps. twarde, 1.5 mg,28 szt.,05909990803156,30p,Choroba Alzheimera,"7,94"
Rivastigmine Mylan,Rivastigminum, kaps. twarde, 3 mg,28 szt.,05909990803545,30p,Choroba Alzheimera,"11,42"
Rivastigmine Mylan,Rivastigminum, kaps. twarde, 3 mg,56 szt.,05909990803569,30p,Choroba Alzheimera,"21,89"
Rivastigmine Mylan,Rivastigminum, kaps. twarde, 4.5 mg,28 szt.,05909990803781,30p,Choroba Alzheimera,"16,84"
Rivastigmine Mylan,Rivastigminum, kaps. twarde, 4.5 mg,56 szt.,05909990803804,30p,Choroba Alzheimera,"32,29"
Rivastigmine Mylan,Rivastigminum, kaps. twarde, 6 mg,28 szt.,05909990804085,30p,Choroba Alzheimera,"21,89"
Rivastigmine Mylan,Rivastigminum, kaps. twarde, 6 mg,56 szt.,05909990804108,30p,Choroba Alzheimera,"41,54"
Rywastygmina Apotex,Rivastigminum, system transdermalny, plaster,30 szt.,05909991067595,30p,Choroba Alzheimera,"61,64"
Rywastygmina Apotex,Rivastigminum, system transdermalny, plaster,30 szt.,05909991067632,30p,Choroba Alzheimera,"121,16"
Aparxon PR,Ropinirolum, tabl. o przedluzonym uwalnianiu, 2 mg,28 szt.,05909990877683,30p,Choroba i zespol Parkinsona,"11,29"
Aparxon PR,Ropinirolum, tabl. o przedluzonym uwalnianiu, 4 mg,28 szt.,05909990878000,30p,Choroba i zespol Parkinsona,"20,34"
Aparxon PR,Ropinirolum, tabl. o przedluzonym uwalnianiu, 8 mg,28 szt.,05909990878086,30p,Choroba i zespol Parkinsona,"40,81"
ApoRopin,Ropinirolum, tabl. o przedluzonym uwalnianiu, 2 mg,28 szt.,05909990992607,30p,Choroba i zespol Parkinsona,"21,81"
ApoRopin,Ropinirolum, tabl. o przedluzonym uwalnianiu, 4 mg,28 szt.,05909990992683,30p,Choroba i zespol Parkinsona,"41,03"
ApoRopin,Ropinirolum, tabl. o przedluzonym uwalnianiu, 8 mg,28 szt.,05909990992775,30p,Choroba i zespol Parkinsona,"77,41"
Aropilo,Ropinirolum, tabl. powl., 0.25 mg,210 szt.,05909990731954,30p,Choroba i zespol Parkinsona,"20,25"
Aropilo,Ropinirolum, tabl. powl., 0.5 mg,21 szt.,05909990731985,30p,Choroba i zespol Parkinsona,"4,48"
Aropilo,Ropinirolum, tabl. powl., 1 mg,21 szt.,05909990732074,30p,Choroba i zespol Parkinsona,"8,38"
Aropilo,Ropinirolum, tabl. powl., 2 mg,21 szt.,05909990732227,30p,Choroba i zespol Parkinsona,"15,70"
Aropilo,Ropinirolum, tabl. powl., 5 mg,21 szt.,05909990732333,30p,Choroba i zespol Parkinsona,"26,44"
Aropilo SR,Ropinirolum, tabl. o przedl. uwalnianiu, 2 mg,28 szt.,05909990998586,30p,Choroba i zespol Parkinsona,"17,01"
Aropilo SR,Ropinirolum, tabl. o przedl. uwalnianiu, 4 mg,28 szt.,05909990998982,30p,Choroba i zespol Parkinsona,"32,58"
Aropilo SR,Ropinirolum, tabl. o przedl. uwalnianiu, 8 mg,28 szt.,05909990999156,30p,Choroba i zespol Parkinsona,"56,00"
Ceurolex SR,Ropinirolum, tabl. o przedluzonym uwalnianiu, 2 mg,28 szt.,05909991049294,30p,Choroba i zespol Parkinsona,"13,61"
Ceurolex SR,Ropinirolum, tabl. o przedluzonym uwalnianiu, 4 mg,28 szt.,05909991049355,30p,Choroba i zespol Parkinsona,"34,05"
Ceurolex SR,Ropinirolum, tabl. o przedluzonym uwalnianiu, 8 mg,28 szt.,05909991049393,30p,Choroba i zespol Parkinsona,"63,94"
Nironovo SR,Ropinirolum, tabl. o przedl. uwalnianiu, 2 mg,28 szt.,05909990990085,30p,Choroba i zespol Parkinsona,"21,89"
Nironovo SR,Ropinirolum, tabl. o przedl. uwalnianiu, 4 mg,28 szt.,05909990990092,30p,Choroba i zespol Parkinsona,"41,23"
Nironovo SR,Ropinirolum, tabl. o przedl. uwalnianiu, 8 mg,28 szt.,05909990990108,30p,Choroba i zespol Parkinsona,"77,81"
Polpix SR,Ropinirolum, tabl. o przedl. uwalnianiu, 2 mg,28 szt.,05909990988198,30p,Choroba i zespol Parkinsona,"21,89"
Polpix SR,Ropinirolum, tabl. o przedl. uwalnianiu, 4 mg,28 szt.,05909990988204,30p,Choroba i zespol Parkinsona,"41,22"
Polpix SR,Ropinirolum, tabl. o przedl. uwalnianiu, 8 mg,28 szt.,05909990988242,30p,Choroba i zespol Parkinsona,"77,81"
Repirol SR,Ropinirolum, tabl. doustne o przedluzonym uwalnianiu, 2 mg,28 szt.,05909990983582,30p,Choroba i zespol Parkinsona,"21,32"
Repirol SR,Ropinirolum, tabl. doustne o przedluzonym uwalnianiu, 4 mg,28 szt.,05909990983803,30p,Choroba i zespol Parkinsona,"40,07"
Repirol SR,Ropinirolum, tabl. doustne o przedluzonym uwalnianiu, 8 mg,28 szt.,05909990983971,30p,Choroba i zespol Parkinsona,"77,11"
Requip,Ropinirolum, tabl. powl., 0.5 mg,21 szt. (1 blist.po 21 szt.),05909990013685,30p,Choroba i zespol Parkinsona,"4,54"
Requip,Ropinirolum, tabl. powl., 1 mg,21 szt. (1 blist.po 21 szt.),05909990013890,30p,Choroba i zespol Parkinsona,"8,85"
Requip,Ropinirolum, tabl. powl., 2 mg,21 szt. (1 blist.po 21 szt.),05909990013586,30p,Choroba i zespol Parkinsona,"16,67"
Requip,Ropinirolum, tabl. powl., 5 mg,21 szt. (1 blist.po 21 szt.),05909990013968,30p,Choroba i zespol Parkinsona,"38,34"
Requip-Modutab,Ropinirolum, tabl. o przedluzonym uwalnianiu, 2 mg,28 szt. (2 blist.po 14 szt.),05909990644728,30p,Choroba i zespol Parkinsona,"21,23"
Requip-Modutab,Ropinirolum, tabl. o przedluzonym uwalnianiu, 4 mg,28 szt. (2 blist.po 14 szt.),05909990644612,30p,Choroba i zespol Parkinsona,"41,03"
Requip-Modutab,Ropinirolum, tabl. o przedluzonym uwalnianiu, 8 mg,28 szt. (2 blist.po 14 szt.),05909990644636,30p,Choroba i zespol Parkinsona,"76,30"
Rolpryna SR,Ropinirolum, tabl. o przedluzonym uwalnianiu, 2 mg,28 szt.,05909990855766,30p,Choroba i zespol Parkinsona,"21,55"
Rolpryna SR,Ropinirolum, tabl. o przedl. uwalnianiu, 2 mg,84 szt.,05909991033781,30p,Choroba i zespol Parkinsona,"58,09"
Rolpryna SR,Ropinirolum, tabl. o przedluzonym uwalnianiu, 4 mg,28 szt.,05909990855773,30p,Choroba i zespol Parkinsona,"40,52"
Rolpryna SR,Ropinirolum, tabl. o przedl. uwalnianiu, 4 mg,84 szt.,05909991033798,30p,Choroba i zespol Parkinsona,"109,47"
Rolpryna SR,Ropinirolum, tabl. o przedluzonym uwalnianiu, 8 mg,28 szt.,05909990855780,30p,Choroba i zespol Parkinsona,"76,41"
Rolpryna SR,Ropinirolum, tabl. o przedl. uwalnianiu, 8 mg,84 szt.,05909991033804,30p,Choroba i zespol Parkinsona,"208,26"
Ropodrin,Ropinirolum, tabl. o przedluzonym uwalnianiu, 2 mg,28 tabl.,05909990963874,30p,Choroba i zespol Parkinsona,"21,49"
Ropodrin,Ropinirolum, tabl. o przedluzonym uwalnianiu, 4 mg,28 tabl.,05909990964239,30p,Choroba i zespol Parkinsona,"40,41"
Ropodrin,Ropinirolum, tabl. o przedluzonym uwalnianiu, 8 mg,28 tabl.,05909990964321,30p,Choroba i zespol Parkinsona,"76,18"
Astrium,Rosuvastatinum, tabletki powlekane, 10 mg,28 tabl.,05909991264918,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"2,77"
Astrium,Rosuvastatinum, tabletki powlekane, 20 mg,28 tabl.,05909991264994,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"4,84"
Astrium,Rosuvastatinum, tabletki powlekane, 40 mg,28 tabl.,05909991265076,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"8,69"
Astrium,Rosuvastatinum, tabletki powlekane, 5 mg,28 tabl.,05909991264840,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"1,44"
Crosuvo,Rosuvastatinum, tabl. powl., 10 mg,28 szt.,05909991021184,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,02"
Crosuvo,Rosuvastatinum, tabl. powl., 20 mg,28 szt.,05909991021337,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"5,50"
Crosuvo,Rosuvastatinum, tabl. powl., 40 mg,28 szt.,05909991021375,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"8,96"
Ridlip,Rosuvastatinum, tabl. powl., 10 mg,28 szt.,05909991000141,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"5,48"
Ridlip,Rosuvastatinum, tabletki powlekane, 10 mg,90 tabl.,05909991375799,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"7,12"
Ridlip,Rosuvastatinum, tabl. powl., 20 mg,28 szt.,05909991000158,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"9,88"
Ridlip,Rosuvastatinum, tabletki powlekane, 20 mg,90 tabl.,05909991375812,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"13,51"
Ridlip,Rosuvastatinum, tabl. powl., 40 mg,28 szt.,05909991000165,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"9,39"
Ridlip,Rosuvastatinum, tabl. powl., 5 mg,28 szt.,05909991000103,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,52"
Ridlip,Rosuvastatinum, tabletki powlekane, 5 mg,90 tabl.,05909991375775,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"4,16"
Romazic,Rosuvastatinum, tabl. powl., 10 mg,30 szt.,05909990919604,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,24"
Romazic,Rosuvastatinum, tabl. powl., 20 mg,30 szt.,05909990919659,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"5,87"
Romazic,Rosuvastatinum, tabl. powl., 40 mg,30 szt.,05909990919673,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"9,63"
Romazic,Rosuvastatinum, tabl. powl., 5 mg,30 szt.,05909990919574,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"1,70"
Rosugen,Rosuvastatinum, tabl. powl., 10 mg,28 szt.,05909990921997,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"2,77"
Rosugen,Rosuvastatinum, tabl. powl., 20 mg,28 szt.,05909990922185,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"4,84"
Rosugen,Rosuvastatinum, tabl. powl., 40 mg,28 szt.,05909990922406,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"8,69"
Rosugen,Rosuvastatinum, tabl. powl., 5 mg,28 szt.,05909990921805,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"1,44"
Rosutrox,Rosuvastatinum, tabl. powl., 10 mg,28 szt.,05909991085674,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,14"
Rosutrox,Rosuvastatinum, tabl. powl., 10 mg,56 szt.,05909991085698,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"5,57"
Rosutrox,Rosuvastatinum, tabl. powl., 20 mg,28 szt.,05909991085759,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"5,56"
Rosutrox,Rosuvastatinum, tabl. powl., 20 mg,56 szt.,05909991085773,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"9,44"
Rosutrox,Rosuvastatinum, tabl. powl., 40 mg,28 szt.,05909991085841,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"9,41"
Rosutrox,Rosuvastatinum, tabl. powl., 40 mg,56 szt.,05909991085865,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"17,38"
Rosutrox,Rosuvastatinum, tabl. powl., 5 mg,28 szt.,05909991085599,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"1,60"
Rosutrox,Rosuvastatinum, tabl. powl., 5 mg,56 szt.,05909991085636,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,14"
Roswera,Rosuvastatinum, tabl., 10 mg,28 szt.,05909990895250,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"4,13"
Roswera,Rosuvastatinum, tabletki powlekane, 10 mg,90 tabl.,05909990895304,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"8,00"
Roswera,Rosuvastatinum, tabl., 15 mg,28 szt.,05909990895380,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"5,94"
Roswera,Rosuvastatinum, tabl. powl., 15 mg,56 szt.,05909990895403,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"15,89"
Roswera,Rosuvastatinum, tabletki powlekane, 15 mg,90 tabl.,05909990895458,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"10,82"
Roswera,Rosuvastatinum, tabl., 20 mg,28 szt.,05909990895533,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"7,55"
Roswera,Rosuvastatinum, tabletki powlekane, 20 mg,90 tabl.,05909990895588,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"14,18"
Roswera,Rosuvastatinum, tabl., 30 mg,28 szt.,05909990895663,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"10,58"
